"Also Viewed Products","Also Viewed Products"
"Also Viewed Products Section","Also Viewed Products Section"
"Product additional information","Product additional information"
"Columns count","Columns count"
"People who viewed this product also viewed","People who viewed this product also viewed"
"You may also like","You may also like"
"Manage Relations","Manage Relations"
"View Log","View Log"
"Save Relations","Save Relations"
"Delete Relations","Delete Relations"
"Process Log","Process Log"
"Related Product","Related Product"
"Please select relation(s).","Please select relation(s)."
"Also Viewed Relations","Also Viewed Relations"
"Also Viewed Log","Also Viewed Log"
"Image width","Image width"
"Image height","Image height"
